   imbalance_ratio,             overlap,       dataset,rows,samples_per_hypersphere,total_hypersheres,average_distance_between_classes,samples_per_hypersphere_minority,samples_per_hypersphere_majority,hypershpere_count_minority,hypershpere_count_majority,   silhouette_score,davies_bouldin_score,calinski_harabaz_score,    cohesion_score, separation_score,      rmsstd_score,          rs_score,           xb_score,adjusted_random_score,adjusted_mutual_info_score,fowlkes_mallows_score,normalized_mutual_info_score,        complexity,weighted_complexity,dual_weighted_complexity,tomeklink_complexity,number_of_classes,number_of_rows,number_of_columns,          accuracy,  balanced_accuracy,            recall,          precision,                 f1,    geometric_mean,            roc_auc,            pr_auc,               cwa,classifier,         resampler
              0.56,                 0.0,         Pima1, 351,     3.4411764705882355,              102,                             1.0,              0.3431372549019608,              0.6568627450980392,                        35,                        67, 0.4445484294057004,    1.60105342595677,     71.22675652636053,1663.3457044673537,339.4691103474613,0.3744028004371346,0.1694960052404292, 0.6944040820879812,   0.0386984793140074,        0.0095495294920243,    0.635876035954861,           0.012116295012124,0.3888888888888889, 0.3492063492063492,      0.3492063492063492,                 0.0,                2,           351,               35,0.8465909090909091, 0.7997612024160696,0.6349206349206349, 0.9090909090909092, 0.7476635514018691,0.7825890161494605, 0.8390223345975557,0.8231511221428274,0.8792613636363636,       xgb,              none
              0.56,                 0.0,         Pima1, 351,                  3.375,              104,                             1.0,              0.3173076923076923,              0.6826923076923077,                        33,                        71, 0.4458163383478089,  1.5925438228506672,     71.24119854053177, 1663.288541908521, 339.526272906294,0.3743963670162508,0.1695245463508753, 0.6850382788023062,   0.0413553909243139,        0.0109506953602554,    0.638494321495356,          0.0135247329890841,0.3888888888888889, 0.3492063492063492,      0.3492063492063492,                 0.0,                2,           351,               35,0.8409090909090909, 0.7883129653041157,0.6031746031746031,  0.926829268292683, 0.7307692307692307,0.7662643917960493, 0.8342463829189493,0.8423572799121781,0.8867331855136733,       xgb,randomundersampler
              0.56,                 0.0,         Pima1, 351,     3.2803738317757007,              107,                             1.0,              0.3457943925233644,              0.6542056074766355,                        37,                        70,  0.445816338347809,  1.5925438228506672,     71.24119854053177, 1663.288541908521, 339.526272906294,0.3743963670162508,0.1695245463508753, 0.6850382788023062,   0.0413553909243139,        0.0109506953602554,    0.638494321495356,          0.0135247329890841,0.3888888888888889, 0.3492063492063492,      0.3492063492063492,                 0.0,                2,           351,               35,0.4034090909090909, 0.4440932715268998,0.5873015873015873, 0.3189655172413793, 0.4134078212290503,0.4203691379114815, 0.4075010535187526,0.4362621933164669,0.4076312695924765,       knn,              none
              0.56,                 0.0,         Pima1, 351,      3.342857142857143,              105,                             1.0,              0.3238095238095238,              0.6761904761904762,                        34,                        71, 0.4445484294057003,    1.60105342595677,     71.22675652636053,1663.3457044673537,339.4691103474613,0.3744028004371346,0.1694960052404292, 0.6944040820879812,   0.0386984793140074,        0.0095495294920243,    0.635876035954861,           0.012116295012124,0.3888888888888889, 0.3492063492063492,      0.3492063492063492,                 0.0,                2,           351,               35,0.6988636363636364, 0.5793650793650793,0.1587301587301587,                1.0,  0.273972602739726,0.3984095364447979, 0.7339513976682118,0.7616094787262033,0.8857133077765608,       knn,randomundersampler
0.7307692307692307,  0.0086975354923851,plasma_retinol, 315,      1.993670886075949,              158,               81.25269226308751,              0.4556962025316455,              0.5443037974683544,                        72,                        86, 0.4924305891397418,  0.8575473783957324,     274.3421330787013,507852577.18717057,445128943.4985438, 353.2848268515807,0.4670908447188491, 0.2050593050514641,  -0.0046327615327078,       -0.0023237281461146,   0.5693314441769904,          0.0002910739382535,0.6541353383458647, 0.5714285714285714,      0.5789473684210527,  0.2781954887218045,                2,           315,               14,0.5886075949367089, 0.5739708053140888,0.4776119402985074, 0.5161290322580645, 0.4961240310077519,0.5658245792520971, 0.5802853862555355,0.4912137587696121, 0.566713029127535,       xgb,              none
0.7307692307692307,  0.0086975354923851,plasma_retinol, 315,     1.8421052631578947,              171,               89.79420916740678,              0.4619883040935672,              0.5380116959064327,                        79,                        92, 0.4924305891397419,  0.8575473783957324,     274.3421330787013,507852577.18717057,445128943.4985438, 353.2848268515807,0.4670908447188491, 0.2050593050514641,  -0.0046327615327078,       -0.0023237281461146,   0.5693314441769904,          0.0002910739382535,0.6541353383458647, 0.5714285714285714,      0.5789473684210527,  0.2781954887218045,                2,           315,               14,0.5759493670886076, 0.5846317861243234,0.6417910447761194,                0.5, 0.5620915032679739,0.5818308555734164, 0.5789732655404297,0.4649034741076476, 0.570675105485232,       xgb,randomundersampler
0.7307692307692307,  0.0086975354923851,plasma_retinol, 315,      1.981132075471698,              159,               79.93817055144001,              0.4465408805031446,              0.5534591194968553,                        71,                        88, 0.4924305891397419,  0.8575473783957324,     274.3421330787013,507852577.18717057,445128943.4985438, 353.2848268515807,0.4670908447188491, 0.2050593050514641,  -0.0046327615327078,       -0.0023237281461146,   0.5693314441769904,          0.0002910739382535,0.6541353383458647, 0.5714285714285714,      0.5789473684210527,  0.2781954887218045,                2,           315,               14,0.4683544303797468, 0.4557979334098737, 0.373134328358209,  0.373134328358209,  0.373134328358209,0.4482393161030992, 0.4881909135640478,  0.46091842366731,0.4432414364400006,       knn,              none
0.7307692307692307,0.008697535492385122,plasma_retinol, 315,      2.019230769230769,              156,               81.25269226308751,             0.46794871794871795,               0.532051282051282,                        73,                        83,0.49243058913974175,  0.8575473783957324,    274.34213307870135,507852577.18717057,445128943.4985438, 353.2848268515807,0.4670908447188491,0.20505930505146414,-0.004632761532707832,    -0.0023237281461146835,   0.5693314441769904,      0.00029107393825354716,0.6541353383458647, 0.5714285714285714,      0.5789473684210527,  0.2781954887218045,                2,           315,               14,0.4430379746835443,0.44562899786780386,0.4626865671641791,0.37349397590361444,0.41333333333333333,0.4453024175438109,0.48466458914220106,0.4686323170462577,0.4356199481470185,       knn,randomundersampler
